Date : 2026-05-21 16:46:08
Directory : c:\Users\dell\Documents\ScholarX\V2\web
Total : 80 files,  7962 codes, 6 comments, 1769 blanks, all 9737 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| Markdown       |         12 |      2,790 |          0 |      1,012 |      3,802 |
| TypeScript JSX |         19 |      2,191 |         -2 |        163 |      2,352 |
| Skill          |          9 |      1,567 |          0 |        439 |      2,006 |
| TypeScript     |         33 |      1,317 |          7 |        141 |      1,465 |
| MS SQL         |          3 |         56 |          0 |         10 |         66 |
| JSON           |          3 |         27 |          0 |          1 |         28 |
| PostCSS        |          1 |         14 |          1 |          3 |         18 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |         80 |      7,962 |          6 |      1,769 |      9,737 |
| . (Files)                                                                                                                                  |          2 |          8 |          2 |         -1 |          9 |
| .agents                                                                                                                                    |          9 |      1,567 |          0 |        439 |      2,006 |
| .agents\skills                                                                                                                             |          9 |      1,567 |          0 |        439 |      2,006 |
| .agents\skills\speckit-analyze                                                                                                             |          1 |        177 |          0 |         79 |        256 |
| .agents\skills\speckit-checklist                                                                                                           |          1 |        291 |          0 |         77 |        368 |
| .agents\skills\speckit-clarify                                                                                                             |          1 |        206 |          0 |         44 |        250 |
| .agents\skills\speckit-constitution                                                                                                        |          1 |        120 |          0 |         33 |        153 |
| .agents\skills\speckit-implement                                                                                                           |          1 |        169 |          0 |         36 |        205 |
| .agents\skills\speckit-plan                                                                                                                |          1 |        113 |          0 |         35 |        148 |
| .agents\skills\speckit-specify                                                                                                             |          1 |        253 |          0 |         73 |        326 |
| .agents\skills\speckit-tasks                                                                                                               |          1 |        158 |          0 |         40 |        198 |
| .agents\skills\speckit-taskstoissues                                                                                                       |          1 |         80 |          0 |         22 |        102 |
| .specify                                                                                                                                   |          2 |          6 |          0 |          1 |          7 |
| .specify\integrations                                                                                                                      |          2 |          6 |          0 |          1 |          7 |
| drizzle                                                                                                                                    |          4 |         77 |          0 |         10 |         87 |
| drizzle (Files)                                                                                                                            |          3 |         56 |          0 |         10 |         66 |
| drizzle\meta                                                                                                                               |          1 |         21 |          0 |          0 |         21 |
| specs                                                                                                                                      |         11 |      2,789 |          0 |      1,014 |      3,803 |
| specs\008-certificate-pdf-pipeline                                                                                                         |          2 |      1,676 |          0 |        590 |      2,266 |
| specs\009-course-application-form                                                                                                          |          9 |      1,113 |          0 |        424 |      1,537 |
| specs\009-course-application-form (Files)                                                                                                  |          6 |        848 |          0 |        355 |      1,203 |
| specs\009-course-application-form\checklists                                                                                               |          1 |         26 |          0 |         10 |         36 |
| specs\009-course-application-form\contracts                                                                                                |          2 |        239 |          0 |         59 |        298 |
| src                                                                                                                                        |         52 |      3,515 |          4 |        306 |      3,825 |
| src (Files)                                                                                                                                |          1 |         -8 |          5 |         -1 |         -4 |
| src\actions                                                                                                                                |          1 |         64 |          0 |          5 |         69 |
| src\app                                                                                                                                    |         21 |      1,497 |         -1 |        137 |      1,633 |
| src\app (Files)                                                                                                                            |          1 |         14 |          1 |          3 |         18 |
| src\app\(platform)                                                                                                                         |          8 |        552 |         -2 |         55 |        605 |
| src\app\(platform)\certificates                                                                                                            |          1 |        189 |          0 |         24 |        213 |
| src\app\(platform)\certificates\[certificateNumber]                                                                                        |          1 |        189 |          0 |         24 |        213 |
| src\app\(platform)\courses                                                                                                                 |          7 |        363 |         -2 |         31 |        392 |
| src\app\(platform)\courses\[slug]                                                                                                          |          7 |        363 |         -2 |         31 |        392 |
| src\app\(platform)\courses\[slug] (Files)                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| src\app\(platform)\courses\[slug]\_components                                                                                              |          2 |          4 |          0 |          0 |          4 |
| src\app\(platform)\courses\[slug]\lessons                                                                                                  |          4 |        354 |         -2 |         30 |        382 |
| src\app\(platform)\courses\[slug]\lessons (Files)                                                                                          |          1 |          9 |         -2 |          1 |          8 |
| src\app\(platform)\courses\[slug]\lessons\[lessonId]                                                                                       |          3 |        345 |          0 |         29 |        374 |
| src\app\(platform)\courses\[slug]\lessons\[lessonId] (Files)                                                                               |          1 |         11 |          0 |          1 |         12 |
| src\app\(platform)\courses\[slug]\lessons\[lessonId]\_components                                                                           |          2 |        334 |          0 |         28 |        362 |
| src\app\admin                                                                                                                              |          2 |        118 |          0 |          3 |        121 |
| src\app\admin\courses                                                                                                                      |          2 |        118 |          0 |          3 |        121 |
| src\app\admin\courses\[courseId]                                                                                                           |          1 |         79 |          0 |          3 |         82 |
| src\app\admin\courses\new                                                                                                                  |          1 |         39 |          0 |          0 |         39 |
| src\app\api                                                                                                                                |          6 |        342 |          0 |         49 |        391 |
| src\app\api\courses                                                                                                                        |          3 |        134 |          0 |         13 |        147 |
| src\app\api\courses\[[...path]]                                                                                                            |          2 |        131 |          0 |         13 |        144 |
| src\app\api\courses\[courseId]                                                                                                             |          1 |          3 |          0 |          0 |          3 |
| src\app\api\courses\[courseId]\certificate                                                                                                 |          1 |          3 |          0 |          0 |          3 |
| src\app\api\v1                                                                                                                             |          3 |        208 |          0 |         36 |        244 |
| src\app\api\v1\courses                                                                                                                     |          3 |        208 |          0 |         36 |        244 |
| src\app\api\v1\courses (Files)                                                                                                             |          1 |        110 |          0 |         18 |        128 |
| src\app\api\v1\courses\[courseId]                                                                                                          |          2 |         98 |          0 |         18 |        116 |
| src\app\api\v1\courses\[courseId]\enroll                                                                                                   |          2 |         98 |          0 |         18 |        116 |
| src\app\api\v1\courses\[courseId]\enroll\application                                                                                       |          2 |         98 |          0 |         18 |        116 |
| src\app\api\v1\courses\[courseId]\enroll\application (Files)                                                                               |          1 |         65 |          0 |         10 |         75 |
| src\app\api\v1\courses\[courseId]\enroll\application\status                                                                                |          1 |         33 |          0 |          8 |         41 |
| src\app\auth                                                                                                                               |          3 |        470 |          0 |         26 |        496 |
| src\app\auth\signin                                                                                                                        |          1 |          3 |          0 |          0 |          3 |
| src\app\auth\signup                                                                                                                        |          2 |        467 |          0 |         26 |        493 |
| src\app\sentry-test                                                                                                                        |          1 |          1 |          0 |          1 |          2 |
| src\components                                                                                                                             |          5 |      1,050 |          0 |         78 |      1,128 |
| src\components\courses                                                                                                                     |          4 |      1,016 |          0 |         82 |      1,098 |
| src\components\ui                                                                                                                          |          1 |         34 |          0 |         -4 |         30 |
| src\db                                                                                                                                     |          1 |         93 |          0 |          3 |         96 |
| src\db\schema                                                                                                                              |          1 |         93 |          0 |          3 |         96 |
| src\domain                                                                                                                                 |         13 |        527 |          0 |         64 |        591 |
| src\domain\admin                                                                                                                           |          3 |          9 |          0 |          0 |          9 |
| src\domain\admin\contracts                                                                                                                 |          2 |          3 |          0 |          0 |          3 |
| src\domain\admin\infrastructure                                                                                                            |          1 |          6 |          0 |          0 |          6 |
| src\domain\admin\infrastructure\db                                                                                                         |          1 |          6 |          0 |          0 |          6 |
| src\domain\courses                                                                                                                         |         10 |        518 |          0 |         64 |        582 |
| src\domain\courses\application                                                                                                             |          8 |        379 |          0 |         55 |        434 |
| src\domain\courses\infrastructure                                                                                                          |          2 |        139 |          0 |          9 |        148 |
| src\domain\courses\infrastructure\db                                                                                                       |          2 |        139 |          0 |          9 |        148 |
| src\lib                                                                                                                                    |          8 |        290 |          0 |         20 |        310 |
| src\lib (Files)                                                                                                                            |          1 |          3 |          0 |          0 |          3 |
| src\lib\api                                                                                                                                |          1 |        120 |          0 |          9 |        129 |
| src\lib\enrollment                                                                                                                         |          6 |        167 |          0 |         11 |        178 |
| src\lib\enrollment (Files)                                                                                                                 |          4 |         46 |          0 |          3 |         49 |
| src\lib\enrollment\strategies                                                                                                              |          2 |        121 |          0 |          8 |        129 |
| src\types                                                                                                                                  |          2 |          2 |          0 |          0 |          2 |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                   | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-analyze\SKILL.md                                                            | Skill          |        177 |          0 |         79 |        256 |
| c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-checklist\SKILL.md                                                          | Skill          |        291 |          0 |         77 |        368 |
| c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-clarify\SKILL.md                                                            | Skill          |        206 |          0 |         44 |        250 |
| c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-constitution\SKILL.md                                                       | Skill          |        120 |          0 |         33 |        153 |
| c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-implement\SKILL.md                                                          | Skill          |        169 |          0 |         36 |        205 |
| c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-plan\SKILL.md                                                               | Skill          |        113 |          0 |         35 |        148 |
| c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-specify\SKILL.md                                                            | Skill          |        253 |          0 |         73 |        326 |
| c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-tasks\SKILL.md                                                              | Skill          |        158 |          0 |         40 |        198 |
| c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-taskstoissues\SKILL.md                                                      | Skill          |         80 |          0 |         22 |        102 |
| c:\Users\dell\Documents\ScholarX\V2\web\.specify\integrations\codex.manifest.json                                                          | JSON           |         16 |          0 |          1 |         17 |
| c:\Users\dell\Documents\ScholarX\V2\web\.specify\integrations\speckit.manifest.json                                                        | JSON           |        -10 |          0 |          0 |        -10 |
| c:\Users\dell\Documents\ScholarX\V2\web\AGENTS.md                                                                                          | Markdown       |          1 |          0 |         -2 |         -1 |
| c:\Users\dell\Documents\ScholarX\V2\web\drizzle\0009_course_applications.sql                                                               | MS SQL         |         49 |          0 |          7 |         56 |
| c:\Users\dell\Documents\ScholarX\V2\web\drizzle\0010_course_auto_approve_applications.sql                                                  | MS SQL         |          2 |          0 |          1 |          3 |
| c:\Users\dell\Documents\ScholarX\V2\web\drizzle\0011_align_course_application_age_check.sql                                                | MS SQL         |          5 |          0 |          2 |          7 |
| c:\Users\dell\Documents\ScholarX\V2\web\drizzle\meta\_journal.json                                                                         | JSON           |         21 |          0 |          0 |         21 |
| c:\Users\dell\Documents\ScholarX\V2\web\next.config.ts                                                                                     | TypeScript     |          7 |          2 |          1 |         10 |
| c:\Users\dell\Documents\ScholarX\V2\web\specs\008-certificate-pdf-pipeline\plan.md                                                         | Markdown       |        971 |          0 |        341 |      1,312 |
| c:\Users\dell\Documents\ScholarX\V2\web\specs\008-certificate-pdf-pipeline\spec.md                                                         | Markdown       |        705 |          0 |        249 |        954 |
| c:\Users\dell\Documents\ScholarX\V2\web\specs\009-course-application-form\checklists\requirements.md                                       | Markdown       |         26 |          0 |         10 |         36 |
| c:\Users\dell\Documents\ScholarX\V2\web\specs\009-course-application-form\contracts\course-application-api.md                              | Markdown       |        190 |          0 |         40 |        230 |
| c:\Users\dell\Documents\ScholarX\V2\web\specs\009-course-application-form\contracts\course-application-ui.md                               | Markdown       |         49 |          0 |         19 |         68 |
| c:\Users\dell\Documents\ScholarX\V2\web\specs\009-course-application-form\data-model.md                                                    | Markdown       |        101 |          0 |         25 |        126 |
| c:\Users\dell\Documents\ScholarX\V2\web\specs\009-course-application-form\plan.md                                                          | Markdown       |        378 |          0 |        126 |        504 |
| c:\Users\dell\Documents\ScholarX\V2\web\specs\009-course-application-form\quickstart.md                                                    | Markdown       |         69 |          0 |         18 |         87 |
| c:\Users\dell\Documents\ScholarX\V2\web\specs\009-course-application-form\research.md                                                      | Markdown       |         72 |          0 |         61 |        133 |
| c:\Users\dell\Documents\ScholarX\V2\web\specs\009-course-application-form\spec.md                                                          | Markdown       |        107 |          0 |         49 |        156 |
| c:\Users\dell\Documents\ScholarX\V2\web\specs\009-course-application-form\tasks.md                                                         | Markdown       |        121 |          0 |         76 |        197 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\actions\course.actions.ts                                                                      | TypeScript     |         64 |          0 |          5 |         69 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\certificates\[certificateNumber]\page.tsx                                       | TypeScript JSX |        189 |          0 |         24 |        213 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\courses\[slug]\_components\course-hero.tsx                                      | TypeScript JSX |          3 |          0 |          0 |          3 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\courses\[slug]\_components\course-sticky-cta.tsx                                | TypeScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\courses\[slug]\lessons\[lessonId]\_components\course-completion-celebration.tsx | TypeScript JSX |        243 |          0 |         14 |        257 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\courses\[slug]\lessons\[lessonId]\_components\lesson-client-bridge.tsx          | TypeScript JSX |         91 |          0 |         14 |        105 |
